epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2600.19,1.46566,0.93656,0.99918,0.19991,0.000118911,0.000118911,0.000118911
2,5055.25,0.27921,0.96853,0.99967,0.10136,0.000222209,0.000222209,0.000222209
